query_id,adaptive_candidate_id,oracle_candidate_id,adaptive_candidate_f1,oracle_f1,selection_regret,zero_regret,oracle_agreement
57263cfcec44d21400f3dc90,bge_small_c256_k3,minilm_c256_k3,0.14285714285714285,0.5,0.35714285714285715,0.0,0.0
572643de5951261400b5195c,bge_small_c256_k3,bge_small_c512_k5,0.625,0.7142857142857143,0.0892857142857143,0.0,0.0
572646655951b619008f6ec0,bge_small_c256_k3,bge_small_c512_k3,0.16666666666666669,0.19999999999999998,0.0333333333333333,0.0,0.0
572646655951b619008f6ec3,bge_small_c256_k3,minilm_c256_k3,0.2857142857142857,1.0,0.7142857142857143,0.0,0.0
57264684708984140094c125,bge_small_c256_k3,minilm_c256_k3,0.5000000000000001,0.5000000000000001,0.0,1.0,0.0
572647935951b619008f6ecb,bge_small_c256_k3,minilm_c512_k3,0.15384615384615385,1.0,0.8461538461538461,0.0,0.0
572647e2dd62a815002e805c,bge_small_c512_k3,minilm_c256_k5,0.10526315789473685,0.11320754716981131,0.00794438927507446,0.0,0.0
57264865dd62a815002e8063,bge_small_c256_k3,minilm_c256_k3,0.6,0.6,0.0,1.0,0.0
572648e8dd62a815002e8076,bge_small_c512_k3,minilm_c256_k3,0.33333333333333337,1.0,0.6666666666666666,0.0,0.0
572648e8dd62a815002e8077,bge_small_c512_k3,minilm_c512_k3,0.2105263157894737,0.5333333333333333,0.32280701754385965,0.0,0.0
